181.50.156.242 - Pasto
181.50.241.33 - Bogotá
181.50.252.113 - Bogotá
181.51.131.28 - Dosquebradas
181.51.174.44 - Manizales
181.52.126.36 - Montería
181.54.9.90 - Bogotá
181.54.220.108 - Bogotá
181.54.246.184 - Bogotá
181.55.128.235 - Bogotá
181.55.147.23 - Bogotá
181.56.120.78 - Bucaramanga
181.58.64.30 - Bogotá
181.58.158.174 - Manizales
181.59.52.200 - Bogotá
181.60.87.18 - Armenia
181.60.250.147 - Bogotá
181.61.24.81 - Bogotá
181.61.138.100 - Bogotá
181.62.148.59 - Bogotá
181.63.22.178 - Medellín
181.63.111.71 - Bogotá
186.0.16.203 - Cartago
186.81.28.130 - Chía
186.82.247.40 - Bogotá
186.85.76.88 - Bogotá
186.85.200.21 - Pereira
186.86.101.160 - Bogotá
186.86.114.126 - Cúcuta
186.87.35.78 - Yopal
186.87.75.58 - Bogotá
186.144.69.205 - Cúcuta
186.144.153.145 - Bogotá
186.146.163.137 - Pereira
186.147.61.247 - Chía
190.84.253.9 - Bogotá
190.146.13.50 - Bogotá
190.146.62.13 - Bogotá
190.146.202.239 - Sopó
190.147.19.30 - Bogotá
190.156.40.89 - Bogotá
190.157.196.150 - Bogotá
190.159.250.149 - Bogotá
200.71.37.173 - Bogotá
200.118.122.157 - Bogotá
